음식명,1인분칼로리(kcal),탄수화물(g),단백질(g),지방(g),콜레스트롤(g),식이섬유(g),나트륨(g),분류
오리고기,525,1.7,26.4,45.5,132,0,140,반찬
오리고기로스,508.1,2,25.5,43.9,127.3,0.1,834,반찬
오므라이스,519.4,90.8,14.6,9.7,206.8,0.9,858,반찬
오이,4,0.9,0.3,0,0,0.2,2,반찬
오이생채,7.1,1.2,0.3,0.3,0,0.2,258,반찬
오이생채(가정식),6.5,1.1,0.2,0.3,0,0.2,235,반찬
오이생채(단체급식),12,1.9,0.4,0.6,0,0.4,423,반찬
오이지,1,0.3,0.1,0,0,0.1,217,반찬
오이지무침,7.1,1.2,0.3,0.3,0,0.2,258,반찬
오이피클,33.7,9.3,0.2,0.1,0,0.2,244,반찬
오징어,33,0,6.8,0.5,102.9,0,63,반찬
오징어(말린것),53,0,10.2,1,127,0,147,반찬
오징어국,62,3.7,10.2,0.8,141.7,0.6,494,국
오징어덮밥,455.6,84.2,23.7,1.9,249.3,1.4,736,밥
오징어무침,40,2.8,6.1,0.6,85.8,0.3,319,반찬
오징어볶음,95,6.8,10.6,3.2,147.8,0.5,338,반찬
오징어젓무침,15.4,0.4,2.8,0.2,29.3,0,777,반찬
오징어찌개,38,1.8,6.6,0.5,93.9,0.2,216,국
오징어채무침,98.3,5.7,13.5,2.5,176.4,0.2,416,반찬
오징어채볶음,108,5.3,14.2,3.2,189.6,0.1,485,반찬
오징어튀김,46,2.3,4.5,1.9,63.5,0,39,반찬
오징어포조림,31,2,4.4,0.6,58.2,0,137,반찬
옥수수기름,35,0,0,4,0,0,0,반찬
옥수수통조림,10,2.2,0.3,0.1,0,0.1,29,반찬
옥수수튀밥,90,19.1,2.9,1,0,0.8,1,밥
올리브,4,1,0.1,0.1,0,0.2,2,반찬
올리브유,37,0,0,4,0,0,0,반찬
완두콩,8,1.5,0.6,0,0,0.2,0,반찬
완자전,84,2.5,4.6,6.1,35.1,0.1,125,반찬
요구르트(액상),98,22.4,2.3,0.2,0,0,93,반찬
"요구르트(호상, 딸기)",109,17.7,3.5,3,12.1,0.1,58,반찬
요구르트음료,55,12.5,1.3,0.1,0,0,52,반찬
우거지국,30,3,3.1,0.9,5,0.5,542,국
우동,370,56.6,20.2,5.9,148.9,0.4,2321,반찬
우동국수(생면),177,36.8,4.4,0.5,0,0.2,192,밥
우스터소스,4,0.9,0,0,0,0,84,반찬
우엉,10,2.3,0.5,0,0,0.2,1,반찬
우엉조림,44,8.6,1.4,1,0,0.7,246,반찬
우유,120,9.4,6.4,6.4,22,0,110,반찬
유부,48,4,4.6,2.2,0,0.5,1,반찬
유부초밥,463.4,81.3,16.5,8.2,0,1.6,444,밥
유자차(분말),25,6.3,0,0,0,0.1,0,반찬
육개장,86,6.2,8.6,3.8,45.9,1.1,621,반찬
율무차(분말),60,11.5,1.1,1.1,0,0.1,59,반찬
은행,9,1.9,0.3,0.1,0,0,0,반찬
이온스포츠음료,63,15.8,0,0,0,0,100,반찬
인삼차(과립),28,6.8,0.1,0,0,0,2,반찬
인절미,109,22.4,2.5,0.9,0,0.2,174,반찬
임연수구이,102,0,10.3,6.3,35,0,197,반찬
임연수어,83,0,9.9,4.4,33.5,0,55,반찬
자장면,794,113.9,22.2,26,17.6,0.8,1131,밥
자장소스,33,4.4,2.4,0.8,0,0.2,581,반찬
잔멸치볶음,16,0.8,1.5,0.7,3.8,0,56,반찬
잔치국수,638,118.7,22.5,6.6,135.6,1.6,3489,밥
잡채,189.4,28.5,4.4,7,8.8,0.5,489,반찬
잡채밥,447.4,75.4,9.5,11,13.5,0.5,469,밥
잣,20,0.3,0.4,2,0,0,0,반찬
장어(갯장어),156,0.1,15.7,9.5,60,0,52,반찬
장어양념구이,220,12.8,16.5,11.5,58.9,0.6,537,반찬
장조림,45,2.4,6.1,1.2,17.1,0,388,반찬
"재첩(재치조개,갱조개)",33,2,4.4,0.7,26.6,0,137,반찬
적포도주,84,5.8,0.2,0,0,0,7,반찬
전복,9,0.5,1.5,0.1,13.5,0,0,반찬
전복죽,184.6,32,5.1,3.4,25.9,0.1,276,밥
전분,17,4.1,0,0,0,0,0,반찬
절편,110,21.9,2.2,0.4,0,0.1,93,반찬
제육(돼지고기),124,2.7,21.7,2.8,59.5,0.1,47,반찬
조개국,28,1.5,4.5,0.3,9.6,0,292,국
조기,42,0,8.2,0.8,39.2,0,70,반찬
조기구이,112,0,18.3,3.8,64.9,0,368,반찬
조기매운탕,80.1,5.4,12.6,1.4,40.1,0.9,690,국
조기찜,73,0.8,13.6,1.4,47.6,0.1,143,반찬
조기튀김,73.4,3,7.1,3.4,30,0,215,반찬
조미분,2,0.3,0.2,0,0,0,0,반찬
조미소,2,0.2,0.5,0,0,0,159,반찬
족발,165,0.3,15.5,11.6,60.8,0,76,반찬
주꾸미,23,0.2,4.9,0.2,135.5,0,0,반찬
죽순,3,0.5,0.7,0.1,0,0.3,2,반찬
중국국수(생면),393,78,12,1.7,0,0,574,밥
쥐치(말린것),50,5.1,6.3,0.3,14.1,0,226,반찬
짬뽕,555,83.7,21.2,14.4,91.4,1.3,1592,밥
쫄면,580.3,95.6,15.4,4.4,101.7,1.3,897,반찬
차조,23,4.6,0.6,0.3,0,0.1,0,반찬
차조밥,383.9,84.2,6.6,0.7,0,0.4,7,밥
찰밥,387.9,85.3,7.1,0.4,0,0.5,5,밥
찰옥수수,126,26.5,4.4,1.1,0,0.5,1,반찬
참기름,35,0,0,4,0,0,0,반찬
참나물,42.1,5.5,2.6,2.2,0,1.1,569,반찬
참나물,13,3,1.4,0.2,0,0.7,2,반찬
참외,25,10.5,3.1,0.6,0,7.6,14,반찬
참치찌개,83,1.6,5.2,6.1,9.7,0.3,397,국
찹쌀,56,12.3,1.1,0.1,0,0.1,0,반찬
찹쌀떡,165,35.3,3.4,1,0,0.4,113,반찬
청국장,31,0.5,3.5,1.5,0,0.5,1082,반찬
청국장찌개,79,2.5,8.5,4.2,2.4,0.9,1457,국
청주,48,1.9,0.3,0,0,0,1,반찬
청주,193,7.6,1.1,0,0,0,4,반찬
청포묵무침,33.4,0.6,1.2,1.9,15.4,0.1,212,반찬
초고추장,30,8.2,0.8,0,0,0.2,564,반찬
초코바,248,32,4.5,11.6,4.5,0,161,반찬
초코파이,153,22.3,1.5,6.6,14.7,0,73,반찬
초콜릿,98,13,2,9.2,16,0,23,반찬
추어탕,94.1,6.4,12,3,104.6,1.3,764,반찬
취나물,14,3.2,1.5,0.2,0,0.8,7,반찬
취나물,30,3.4,1.6,1.8,0,0.7,106,반찬
취나물(말린것),23,5.4,2.2,0.2,0,1.1,0,반찬
치즈,64,0.3,5.3,4.6,16,0,62,반찬
"치즈,가공치즈",62,1.1,3.7,4.8,16,0,227,반찬
"치즈,모짜렐라",32,1.9,2.6,1.5,2.1,0,98,반찬
치커리,1,0.3,0.2,0,0,0.1,0,반찬
카라멜,41,8,0.2,1.1,0.9,0,10,반찬
카레(분말),32,4.7,0.8,1.2,0,0.1,376,반찬
카레라이스,433.8,75,12.2,8.8,15.3,0.8,1180,반찬
카스테라,162,27.6,3.4,4.3,129,0.1,53,반찬
칼국수,425,94.5,13.4,2.6,4.3,0.6,3344,밥
칼국수(반건),226,51.8,5.8,1.3,0,0.2,1591,밥
캔커피,20,8.8,1.1,0.7,0,0,92,반찬
커피(분말크림),29,3.6,0.5,1.4,0,0,13,반찬
커피(설탕),19,4.4,0.4,0,0,0,1,반찬
"커피(설탕,분말크림)",40,6.6,0.5,1.4,0,0,13,반찬
"커피(원두,블랙)",6,1.1,0.3,0,0,0,2,반찬
커피믹스,54,9.2,0.6,1.8,0,0,16,반찬
커피분말,7,1.4,0.4,0,0,0,1,반찬
커피프림,33,3.4,0.2,2.1,0,0,18,반찬
케이크(생크림),317,41.9,3.8,15.7,6.5,0.4,122,반찬
케이크(초코릿),437,40.2,4.7,30.4,31.6,0.2,129,반찬
케이크(파운드),343,39.7,4.8,19.4,53.4,0.3,134,반찬
콜라,100,25,0,0,0,0,0,반찬
콩국수,738,111.3,40.6,16.3,0,4.5,2775,밥
콩기름,35,0,0,4,0,0,0,반찬
콩나물,25,2.2,2.2,1.6,0,0.6,203,반찬
콩나물,12,1.4,2,0.5,0,0.4,2,반찬
콩나물국,18.2,2.3,2.6,0.6,1,0.6,319,반찬
콩나물밥,549.3,105.2,18,6.2,11.6,1.9,504,밥
콩밥,383.3,80,8.8,2,0,0.7,7,밥
콩비지,15,2.9,0.9,0.4,0,0.9,12,반찬
콩비지찌개,69,9,4.9,3,7.6,2.5,584,국
콩조림(콩자반),38,3.8,3,1.7,0,0.4,87,반찬
쿠키,140,20.7,1.8,5.6,21.3,0,105,반찬
크래커,175,20.6,2.5,9.7,0,0.1,222,반찬
크래커(샌드),172,20.6,3.1,8.5,0,0,307,반찬
크로켓,237,23.8,4.8,14.6,136,0.3,277,반찬
크림빵,288,47.8,6.3,8.1,70.4,0.2,168,밥
키위,24,6.5,0.4,0.2,0,0.6,1,반찬
탕수육,230,19.9,8.9,11.5,66.2,0.4,276,반찬
토란,26,5.9,1.1,0.1,0,0.4,1,반찬
토란대(말린것),45,13.1,1.5,0.2,0,2.1,2,반찬
토마토,14,3.3,0.9,0.1,0,0.4,5,반찬
토마토주스,27,6.5,1.7,0.2,0,0.8,132,반찬
토마토케첩,6,1.6,0.1,0,0,0,49,반찬
토마토페이스트,16,3.9,0.7,0,0,0,38,반찬
톳,6,2.5,1,0.2,0,0.5,205,반찬
톳나물,32,7.7,1.6,0.9,0,0.7,928,반찬
파,3,0.7,0.2,0,0,0.1,0,반찬
파래,3,1.2,1,0,0,0.1,339,반찬
파래무침,43,4.3,1.6,3,0,0.4,721,반찬
파무침,50,3,1.5,4.2,0,0.7,114,반찬
파인애플,10,2.8,0.2,0,0,0.2,2,반찬
파전,109.2,14.3,3.2,4.1,35.2,0.3,197,반찬
팝콘,50,5.8,0.8,3.1,0,0.2,78,반찬
팥,34,6.8,1.9,0,0,0.5,0,반찬
팥밥,344.9,75.5,7.1,0.4,0,0.7,7,밥
팥시루떡,195,41.4,5.4,0.8,0,0.8,200,반찬
팥죽,247.5,52.1,8.8,0.3,0,1.5,329,죽
팽이버섯,3,0.6,0.3,0,0,0.1,1,반찬
포도,39,10.6,0.4,0.1,0,0.1,4,반찬
"포도,건포도",11,3,0.1,0,0,0,0,반찬
포도주스,110,29,0.6,0.4,0,0,2,반찬
표고버섯,3,0.6,0.2,0,0,0.1,1,반찬
표고버섯(말린것),8,1.9,0.5,0.1,0,0.2,1,반찬
풋고추,2,0.5,0.1,0.1,0,0,1,반찬
풋고추조림,11,0.8,0.5,0.1,3,0,112,반찬
풋마늘,4,0.9,0.4,0.1,0,0.1,1,반찬
피망,1,0.3,0,0,0,0.1,0,반찬
피자,390,43.6,17.5,17.3,31.5,0.4,577,반찬
함박스테이크,103.3,5.3,6.6,6.2,43.2,0.1,230,반찬
핫도그,124,9.2,5.3,7.4,22,0,342,반찬
해물탕,86.3,6,13.9,1.4,50.5,0.7,473,반찬
해삼,5,0.3,0.7,0.1,0,0,260,반찬
해파리,7,0.5,1,0.1,47.8,0,1200,반찬
햄버거,344,38.1,17,14.7,42,0.5,747,밥
현미,42,9.3,0.9,0.3,0,0.3,9,밥
현미밥,389.3,86,7.1,1.1,0,1.3,34,밥
호두,98,0.4,2.3,10,0,0.4,1,반찬
호박(애호박),8,2.1,0.5,0,0,0.1,0,반찬
호박나물,32,3.6,0.9,2,0.1,0.3,182,반찬
호박전,76,6.2,2.9,4.5,70.6,0.2,214,반찬
호박죽,243.6,51.4,8.6,0.2,0,1.5,308,밥
호빵,229,46.4,6.6,0.8,3.6,0.4,200,반찬
홍어,26,0,5.9,0.2,26.4,0,67,반찬
홍어회무침,44.4,4.3,5.7,0.8,23.1,0.4,283,반찬
홍차,72,17.5,0.2,0,0,0,5,반찬
홍차,3,0.3,0.3,0.2,0,0,3,반찬
홍차음료,64,16.6,0,0,0,0,4,반찬
홍합,14,0.8,1.9,0.2,9.8,0,52,반찬
홍합미역국,28,2.8,1.8,2.2,0.8,0.2,824,국
회덮밥,696.5,121.9,39.8,5.5,51.2,2.5,892,밥
효모,0,0,0,0,0,0,0,반찬
후렌치후라이,367,47.2,4.4,19.7,0,4,223,반찬
후르츠샐러드(칵테일),29,7.7,0.1,0.2,0,0.2,1,반찬
후추,3,0.7,0.1,0,0,0.1,0,반찬
흑미밥,387.2,85,6.7,0.7,0,0.4,7,밥
